LTLACode,2019-03,2019-06,2019-09,2019-12,2020-03,2020-06,2020-09,2020-12,2021-03,2021-06,2021-09,2021-12,2022-03
E06000038,"308,000","308,300","307,000","307,000","305,000","300,000","302,500","310,000","320,000","322,000","320,000","320,000","318,000"
E06000039,"315,000","320,000","321,000","323,500","324,000","325,000","325,000","330,000","342,124","350,000","350,000","348,000","347,750"
E06000040,"465,000","460,000","460,000","465,000","475,000","481,000","494,000","496,500","515,000","520,000","512,750","520,000","510,000"
E06000041,"420,000","418,375","415,000","420,000","420,000","419,950","420,000","432,000","440,000","444,475","447,100","445,000","450,000"
E06000042,"285,000","287,000","285,000","287,500","294,000","287,000","300,000","310,500","320,000","324,950","318,375","313,250","303,000"
E06000043,"355,000","357,500","360,000","353,000","357,625","355,000","360,000","380,000","400,000","412,000","409,250","403,345","392,556"
E06000044,"212,500","212,000","210,000","210,000","212,500","215,000","218,000","223,000","230,000","235,000","235,000","237,000","239,998"
E06000045,"210,000","210,000","215,000","219,500","219,000","220,000","220,000","223,250","225,000","230,000","233,000","235,000","238,000"
E06000046,"210,000","212,500","210,000","215,000","215,000","215,000","220,000","232,500","249,950","257,000","260,000","258,000","252,375"
E06000060,"385,000","385,000","389,998","390,000","392,500","395,000","400,000","410,000","435,000","438,250","435,000","433,438","425,000"
E07000061,"240,000","240,000","242,500","245,000","245,000","245,000","247,750","250,000","264,000","272,500","272,750","272,500","272,000"
E07000062,"220,000","222,000","225,000","225,000","230,000","229,975","230,000","238,250","250,000","265,000","270,000","273,000","275,000"
